point_index,x,y,arc_length_px
227,287.213,546.296,250.980
228,287.892,545.451,252.064
229,288.560,544.595,253.150
230,289.218,543.730,254.237
231,289.866,542.855,255.326
232,290.506,541.972,256.416
233,291.136,541.080,257.508
234,291.759,540.181,258.602
235,292.374,539.275,259.697
236,292.982,538.362,260.794
237,293.584,537.444,261.892
238,294.180,536.519,262.992
239,294.771,535.590,264.093
240,295.357,534.657,265.195
241,295.938,533.720,266.298
242,296.516,532.779,267.402
243,297.091,531.836,268.506
244,297.663,530.891,269.611
245,298.233,529.944,270.716
246,298.801,528.996,271.821
247,299.368,528.048,272.927
248,299.935,527.099,274.032
249,300.502,526.152,275.136
250,301.070,525.205,276.240
251,301.639,524.260,277.343
252,302.209,523.318,278.444
253,302.782,522.378,279.545
254,303.358,521.441,280.644
255,303.936,520.509,281.742
256,304.519,519.580,282.838
257,305.106,518.657,283.932
258,305.698,517.740,285.024
259,306.296,516.828,286.114
260,306.899,515.923,287.201
261,307.509,515.025,288.287
262,308.126,514.136,289.370
263,308.751,513.254,290.450
264,309.384,512.381,291.529
265,310.026,511.518,292.604
266,310.677,510.664,293.678
267,311.338,509.821,294.749
268,312.009,508.989,295.818
269,312.691,508.168,296.885
270,313.384,507.359,297.950
271,314.087,506.562,299.014
272,314.801,505.775,300.076
273,315.525,504.999,301.137
274,316.259,504.234,302.197
275,317.003,503.480,303.256
276,317.757,502.736,304.315
277,318.520,502.003,305.374
278,319.294,501.280,306.433
279,320.076,500.567,307.491
280,320.868,499.864,308.550
281,321.669,499.171,309.609
282,322.479,498.488,310.669
283,323.298,497.814,311.730
284,324.125,497.149,312.791
285,324.961,496.494,313.853
286,325.805,495.848,314.916
287,326.658,495.210,315.981
288,327.518,494.582,317.046
289,328.387,493.962,318.113
290,329.263,493.351,319.182
291,330.147,492.747,320.252
292,331.038,492.153,321.324
293,331.937,491.566,322.397
294,332.843,490.987,323.472
295,333.756,490.415,324.549
296,334.676,489.852,325.628
297,335.602,489.296,326.708
298,336.535,488.747,327.791
299,337.475,488.205,328.876
300,338.421,487.671,329.962
301,339.373,487.143,331.051
302,340.331,486.622,332.141
303,341.295,486.107,333.234
304,342.265,485.599,334.329
305,343.240,485.097,335.425
306,344.221,484.602,336.524
307,345.206,484.112,337.625
308,346.197,483.628,338.728
309,347.193,483.150,339.832
310,348.194,482.678,340.939
311,349.200,482.211,342.048
312,350.210,481.749,343.158
313,351.224,481.292,344.271
314,352.243,480.840,345.385
315,353.265,480.393,346.501
316,354.292,479.951,347.619
317,355.322,479.513,348.739
318,356.356,479.079,349.860
319,357.394,478.650,350.983
320,358.435,478.225,352.107
321,359.479,477.804,353.233
322,360.526,477.386,354.360
323,361.576,476.973,355.489
324,362.629,476.562,356.619
325,363.684,476.155,357.750
326,364.742,475.752,358.882
327,365.802,475.351,360.015
328,366.864,474.953,361.150
329,367.929,474.558,362.285
330,368.995,474.166,363.421
331,370.063,473.776,364.558
332,371.132,473.388,365.696
333,372.203,473.002,366.834
334,373.275,472.619,367.972
335,374.349,472.237,369.112
336,375.423,471.857,370.251
337,376.498,471.479,371.391
338,377.574,471.102,372.531
339,378.650,470.727,373.671
340,379.727,470.352,374.811
341,380.804,469.979,375.951
342,381.881,469.606,377.090
