CurveID,PointID,PosX,PosY,PosZ,TanX,TanY,TanZ
0,78,125.3735,-56.6655,0.0000,0.5882,-0.8087,0.0
0,79,126.0746,-57.6294,0.0000,0.6024,-0.7982,0.0
0,80,126.7996,-58.5901,0.0000,0.6151,-0.7885,0.0
0,81,127.5414,-59.5410,0.0000,0.6266,-0.7793,0.0
0,82,128.2931,-60.4758,0.0000,0.6373,-0.7706,0.0
0,83,129.0476,-61.3882,0.0000,0.6474,-0.7622,0.0
0,84,129.7981,-62.2716,0.0000,0.6571,-0.7538,0.0
0,85,130.5374,-63.1198,0.0000,0.6666,-0.7454,0.0
0,86,131.2585,-63.9262,0.0000,0.6762,-0.7367,0.0
0,87,131.9545,-64.6844,0.0000,0.6862,-0.7274,0.0
0,88,132.6184,-65.3882,0.0000,0.6970,-0.7171,0.0
0,89,133.2432,-66.0310,0.0000,0.7090,-0.7052,0.0
0,90,133.8219,-66.6065,0.0000,0.7233,-0.6906,0.0
0,91,134.3474,-67.1083,0.0000,0.7411,-0.6714,0.0
0,92,134.8128,-67.5300,0.0000,0.7652,-0.6438,0.0
0,93,135.2112,-67.8651,0.0000,0.8012,-0.5984,0.0
0,94,135.5354,-68.1073,0.0000,0.8622,-0.5066,0.0
0,95,135.7785,-68.2501,0.0000,0.9725,-0.2327,0.0
0,96,135.9335,-68.2872,0.0000,0.6239,0.7815,0.0
0,97,135.9934,-68.2121,0.0000,-0.2128,0.9771,0.0
0,98,135.9513,-68.0185,0.0000,-0.4289,0.9033,0.0
0,99,135.8000,-67.7000,0.0000,-0.4289,0.9033,0.0
1,0,109.6000,-20.5000,0.0000,-0.9264,0.3766,0.0
1,1,108.9080,-20.2187,0.0000,-0.9472,0.3206,0.0
1,2,108.1992,-19.9788,0.0000,-0.9645,0.2642,0.0
1,3,107.4762,-19.7808,0.0000,-0.9782,0.2074,0.0
1,4,106.7416,-19.6250,0.0000,-0.9886,0.1504,0.0
1,5,105.9981,-19.5119,0.0000,-0.9957,0.0931,0.0
1,6,105.2481,-19.4417,0.0000,-0.9994,0.0354,0.0
1,7,104.4942,-19.4150,0.0000,-0.9997,-0.0226,0.0
1,8,103.7391,-19.4321,0.0000,-0.9967,-0.0810,0.0
1,9,102.9853,-19.4933,0.0000,-0.9902,-0.1397,0.0
1,10,102.2353,-19.5991,0.0000,-0.9801,-0.1987,0.0
1,11,101.4919,-19.7498,0.0000,-0.9662,-0.2579,0.0
1,12,100.7575,-19.9459,0.0000,-0.9483,-0.3172,0.0
1,13,100.0347,-20.1877,0.0000,-0.9264,-0.3765,0.0
1,14,99.3262,-20.4756,0.0000,-0.8972,-0.4415,0.0
1,15,98.6397,-20.8134,0.0000,-0.8517,-0.5240,0.0
1,16,97.9929,-21.2114,0.0000,-0.7819,-0.6234,0.0
1,17,97.4047,-21.6803,0.0000,-0.6798,-0.7334,0.0
1,18,96.8939,-22.2313,0.0000,-0.5439,-0.8391,0.0
1,19,96.4777,-22.8735,0.0000,-0.4255,-0.9050,0.0
1,20,96.1431,-23.5851,0.0000,-0.3690,-0.9294,0.0
1,21,95.8519,-24.3184,0.0000,-0.3762,-0.9265,0.0
1,22,95.5650,-25.0250,0.0000,-0.4541,-0.8909,0.0
1,23,95.2433,-25.6562,0.0000,-0.6142,-0.7892,0.0
1,24,94.8481,-26.1641,0.0000,-0.8026,-0.5966,0.0
1,25,94.3597,-26.5271,0.0000,-0.9250,-0.3799,0.0
1,26,93.7862,-26.7626,0.0000,-0.9810,-0.1942,0.0
1,27,93.1380,-26.8910,0.0000,-0.9983,-0.0583,0.0
1,28,92.4254,-26.9325,0.0000,-0.9995,0.0324,0.0
1,29,91.6586,-26.9077,0.0000,-0.9962,0.0870,0.0
1,30,90.8481,-26.8369,0.0000,-0.9935,0.1134,0.0
1,31,90.0041,-26.7406,0.0000,-0.9932,0.1163,0.0
1,32,89.1370,-26.6391,0.0000,-0.9952,0.0976,0.0
1,33,88.2571,-26.5528,0.0000,-0.9984,0.0574,0.0
1,34,87.3748,-26.5021,0.0000,-1.0000,-0.0060,0.0
1,35,86.5003,-26.5073,0.0000,-0.9963,-0.0864,0.0
1,36,85.6421,-26.5817,0.0000,-0.9858,-0.1678,0.0
1,37,84.8052,-26.7242,0.0000,-0.9688,-0.2477,0.0
1,38,83.9939,-26.9317,0.0000,-0.9453,-0.3261,0.0
1,39,83.2125,-27.2012,0.0000,-0.9154,-0.4026,0.0
1,40,82.4655,-27.5297,0.0000,-0.8788,-0.4772,0.0
1,41,81.7573,-27.9144,0.0000,-0.8353,-0.5497,0.0
1,42,81.0922,-28.3521,0.0000,-0.7847,-0.6199,0.0
1,43,80.4747,-28.8399,0.0000,-0.7265,-0.6871,0.0
1,44,79.9091,-29.3748,0.0000,-0.6605,-0.7509,0.0
