point_index,x,y,arc_length_px
219,930.453,269.013,200.473
220,929.592,269.093,201.338
221,928.722,269.161,202.210
222,927.842,269.216,203.092
223,926.954,269.260,203.981
224,926.056,269.293,204.879
225,925.150,269.315,205.786
226,924.235,269.326,206.701
227,923.313,269.327,207.623
228,922.381,269.318,208.555
229,921.442,269.299,209.494
230,920.496,269.272,210.441
231,919.542,269.236,211.396
232,918.580,269.192,212.358
233,917.611,269.140,213.328
234,916.636,269.081,214.306
235,915.653,269.014,215.290
236,914.665,268.941,216.282
237,913.669,268.861,217.280
238,912.668,268.776,218.285
239,911.661,268.685,219.297
240,910.648,268.589,220.314
241,909.629,268.488,221.338
242,908.605,268.383,222.367
243,907.576,268.273,223.402
244,906.542,268.161,224.442
245,905.503,268.045,225.487
246,904.460,267.926,226.537
247,903.412,267.805,227.592
248,902.360,267.681,228.651
249,901.305,267.556,229.714
250,900.245,267.430,230.782
251,899.182,267.303,231.852
252,898.115,267.176,232.927
253,897.045,267.048,234.004
254,895.972,266.921,235.085
255,894.897,266.794,236.168
256,893.818,266.669,237.253
257,892.738,266.544,238.341
258,891.655,266.422,239.431
259,890.570,266.302,240.522
260,889.483,266.185,241.615
261,888.395,266.070,242.710
262,887.305,265.959,243.805
263,886.214,265.852,244.901
264,885.122,265.749,245.998
265,884.029,265.651,247.095
266,882.936,265.557,248.193
267,881.842,265.469,249.290
268,880.748,265.386,250.388
269,879.653,265.310,251.485
270,878.559,265.240,252.581
271,877.465,265.177,253.676
272,876.372,265.122,254.771
273,875.280,265.073,255.865
274,874.188,265.034,256.957
275,873.098,265.002,258.048
276,872.009,264.979,259.137
277,870.921,264.966,260.225
278,869.835,264.962,261.311
279,868.751,264.968,262.395
280,867.669,264.984,263.477
281,866.590,265.012,264.556
282,865.513,265.050,265.634
283,864.438,265.099,266.710
284,863.366,265.159,267.783
285,862.297,265.230,268.855
286,861.231,265.311,269.925
287,860.167,265.404,270.992
288,859.107,265.507,272.058
289,858.049,265.620,273.121
290,856.995,265.744,274.183
291,855.944,265.879,275.243
292,854.896,266.024,276.301
293,853.851,266.179,277.356
294,852.810,266.344,278.411
295,851.773,266.520,279.463
296,850.739,266.706,280.513
297,849.709,266.902,281.562
298,848.682,267.109,282.609
299,847.660,267.325,283.654
300,846.641,267.551,284.697
301,845.627,267.787,285.739
302,844.616,268.033,286.779
303,843.610,268.289,287.817
304,842.608,268.555,288.854
305,841.611,268.830,289.888
306,840.618,269.115,290.921
307,839.629,269.409,291.953
308,838.645,269.713,292.982
309,837.666,270.026,294.010
310,836.692,270.349,295.037
311,835.723,270.681,296.062
312,834.758,271.022,297.085
313,833.799,271.373,298.106
314,832.844,271.732,299.126
315,831.895,272.101,300.144
316,830.951,272.479,301.161
317,830.013,272.866,302.176
318,829.080,273.262,303.189
319,828.153,273.667,304.201
320,827.231,274.080,305.211
321,826.315,274.502,306.220
322,825.405,274.933,307.227
323,824.500,275.373,308.233
324,823.602,275.821,309.237
325,822.709,276.278,310.239
326,821.823,276.743,311.240
327,820.943,277.217,312.240
328,820.069,277.699,313.238
329,819.202,278.189,314.234
330,818.341,278.688,315.229
331,817.487,279.195,316.222
332,816.639,279.710,317.214
333,815.798,280.233,318.205
334,814.964,280.764,319.193
335,814.137,281.303,320.181
336,813.316,281.850,321.167
337,812.503,282.405,322.151
338,811.697,282.967,323.134
339,810.898,283.538,324.116
340,810.106,284.116,325.096
341,809.322,284.702,326.075
342,808.545,285.295,327.053
343,807.776,285.896,328.029
344,807.014,286.504,329.003
345,806.261,287.120,329.977
346,805.514,287.743,330.949
347,804.776,288.373,331.919
348,804.046,289.010,332.889
349,803.324,289.655,333.857
350,802.610,290.307,334.824
351,801.904,290.966,335.789
352,801.206,291.632,336.753
353,800.517,292.304,337.717
354,799.837,292.984,338.678
355,799.164,293.671,339.639
356,798.501,294.364,340.599
357,797.846,295.064,341.557
358,797.200,295.771,342.515
359,796.563,296.484,343.471
360,795.935,297.204,344.427
361,795.316,297.930,345.381
362,794.706,298.663,346.334
363,794.105,299.402,347.287
364,793.514,300.148,348.238
365,792.932,300.899,349.189
366,792.359,301.657,350.139
367,791.796,302.421,351.088
368,791.243,303.192,352.037
369,790.699,303.968,352.984
370,790.165,304.750,353.931
