point_index,x,y,arc_length_px
212,1441.695,611.435,201.577
213,1441.022,611.061,202.346
214,1440.359,610.664,203.119
215,1439.705,610.244,203.896
216,1439.062,609.800,204.678
217,1438.427,609.333,205.465
218,1437.803,608.841,206.260
219,1437.189,608.326,207.062
220,1436.584,607.787,207.873
221,1435.987,607.225,208.691
222,1435.400,606.643,209.519
223,1434.820,606.040,210.356
224,1434.247,605.417,211.202
225,1433.681,604.776,212.057
226,1433.121,604.118,212.921
227,1432.568,603.442,213.794
228,1432.019,602.752,214.676
229,1431.475,602.047,215.567
230,1430.936,601.328,216.465
231,1430.400,600.596,217.372
232,1429.868,599.852,218.287
233,1429.338,599.098,219.208
234,1428.811,598.334,220.137
235,1428.285,597.561,221.071
236,1427.761,596.780,222.012
237,1427.237,595.992,222.958
238,1426.714,595.199,223.909
239,1426.190,594.400,224.864
240,1425.666,593.597,225.823
241,1425.140,592.790,226.786
242,1424.613,591.982,227.751
243,1424.083,591.173,228.718
244,1423.550,590.363,229.688
245,1423.015,589.554,230.658
246,1422.475,588.746,231.629
247,1421.931,587.941,232.601
248,1421.382,587.140,233.572
249,1420.828,586.343,234.542
250,1420.268,585.552,235.512
251,1419.701,584.767,236.480
252,1419.128,583.990,237.445
253,1418.548,583.221,238.409
254,1417.959,582.461,239.370
255,1417.362,581.712,240.328
256,1416.756,580.974,241.283
257,1416.141,580.248,242.234
258,1415.516,579.535,243.182
259,1414.881,578.837,244.127
260,1414.235,578.153,245.067
261,1413.577,577.485,246.004
262,1412.907,576.835,246.938
263,1412.225,576.202,247.868
264,1411.530,575.589,248.795
265,1410.823,574.994,249.720
266,1410.103,574.417,250.642
267,1409.370,573.858,251.564
268,1408.627,573.316,252.484
269,1407.872,572.791,253.403
270,1407.107,572.282,254.322
271,1406.331,571.788,255.242
272,1405.545,571.309,256.162
273,1404.751,570.845,257.083
274,1403.947,570.394,258.005
275,1403.134,569.956,258.928
276,1402.313,569.531,259.852
277,1401.485,569.118,260.778
278,1400.649,568.716,261.705
279,1399.806,568.325,262.634
280,1398.957,567.945,263.564
281,1398.102,567.574,264.496
282,1397.241,567.213,265.430
283,1396.376,566.860,266.365
284,1395.505,566.515,267.301
285,1394.630,566.177,268.239
286,1393.751,565.847,269.178
287,1392.868,565.523,270.118
288,1391.983,565.205,271.059
289,1391.094,564.891,272.001
290,1390.204,564.583,272.944
291,1389.312,564.278,273.886
292,1388.418,563.978,274.829
293,1387.524,563.680,275.772
294,1386.628,563.384,276.715
295,1385.733,563.090,277.657
296,1384.838,562.797,278.599
297,1383.944,562.506,279.539
298,1383.051,562.214,280.479
299,1382.159,561.921,281.417
300,1381.270,561.628,282.354
301,1380.383,561.333,283.289
302,1379.499,561.036,284.221
303,1378.618,560.736,285.152
304,1377.740,560.433,286.080
305,1376.867,560.126,287.006
306,1375.998,559.814,287.929
307,1375.135,559.497,288.849
308,1374.277,559.175,289.765
309,1373.424,558.847,290.679
310,1372.578,558.512,291.589
311,1371.738,558.170,292.496
312,1370.906,557.819,293.399
313,1370.081,557.461,294.298
314,1369.264,557.093,295.194
315,1368.455,556.716,296.087
316,1367.655,556.329,296.976
317,1366.864,555.930,297.861
318,1366.083,555.521,298.743
319,1365.311,555.101,299.622
320,1364.548,554.670,300.498
321,1363.794,554.229,301.372
322,1363.049,553.777,302.243
323,1362.313,553.314,303.112
324,1361.585,552.842,303.980
325,1360.866,552.359,304.847
326,1360.154,551.867,305.712
327,1359.451,551.365,306.576
328,1358.755,550.853,307.439
329,1358.067,550.333,308.302
330,1357.387,549.803,309.165
331,1356.714,549.264,310.027
332,1356.048,548.716,310.889
333,1355.389,548.159,311.752
334,1354.737,547.594,312.615
335,1354.091,547.021,313.478
336,1353.452,546.439,314.342
337,1352.819,545.850,315.207
338,1352.192,545.252,316.073
339,1351.571,544.647,316.940
340,1350.956,544.035,317.808
341,1350.347,543.415,318.677
342,1349.743,542.787,319.548
343,1349.144,542.153,320.420
344,1348.551,541.512,321.294
345,1347.962,540.864,322.169
346,1347.378,540.210,323.046
347,1346.799,539.550,323.925
348,1346.224,538.883,324.805
349,1345.653,538.210,325.688
350,1345.087,537.531,326.572
351,1344.524,536.847,327.458
352,1343.965,536.157,328.346
353,1343.410,535.461,329.236
354,1342.858,534.761,330.128
355,1342.309,534.055,331.021
356,1341.763,533.344,331.917
357,1341.220,532.629,332.815
358,1340.680,531.909,333.715
359,1340.143,531.185,334.617
360,1339.608,530.457,335.521
361,1339.075,529.724,336.427
362,1338.544,528.988,337.334
363,1338.015,528.248,338.244
364,1337.488,527.504,339.156
365,1336.962,526.757,340.069
366,1336.438,526.007,340.985
367,1335.914,525.253,341.902
368,1335.392,524.497,342.821
369,1334.871,523.738,343.742
370,1334.350,522.977,344.664
371,1333.830,522.213,345.589
372,1333.310,521.446,346.515
373,1332.791,520.678,347.442
374,1332.271,519.908,348.371
375,1331.751,519.136,349.302
376,1331.231,518.362,350.234
377,1330.711,517.587,351.168
378,1330.189,516.811,352.103
379,1329.667,516.033,353.039
380,1329.144,515.255,353.977
381,1328.620,514.476,354.916
382,1328.094,513.696,355.856
383,1327.567,512.916,356.798
384,1327.038,512.136,357.741
385,1326.507,511.355,358.684
386,1325.975,510.575,359.629
387,1325.440,509.795,360.575
388,1324.902,509.015,361.522
389,1324.362,508.236,362.470
390,1323.820,507.457,363.419
391,1323.274,506.679,364.369
392,1322.726,505.903,365.320
393,1322.174,505.127,366.272
394,1321.619,504.353,367.224
395,1321.060,503.581,368.178
